city,locality_standard,location_raw,bhk,bhk_category,total_sqft_clean,sqft_parse_method,size_bucket,bath,balcony,price_lakhs,price_inr,price_per_sqft,area_type,availability_bucket,age_bucket,quality_flag,quality_flag_detail,locality_tier
Bengaluru,Raja Rajeshwari Nagar,Raja Rajeshwari Nagar,3.0,3 BHK,1540.0,plain,1500-2500 sqft,3.0,3.0,60.0,6000000.0,3896.103896103896,Super built-up  Area,Ready to move,Not available in source data,Valid,Valid,Tier 3 - Value
Bengaluru,Ramakrishnappa Layout,Ramakrishnappa Layout,3.0,3 BHK,2770.0,plain,2500+ sqft,4.0,2.0,290.0,29000000.0,10469.314079422382,Super built-up  Area,Ready to move,Not available in source data,Valid,Valid,Insufficient data (<10 listings)
Bengaluru,Manayata Tech Park,Manayata Tech Park,2.0,2 BHK,1100.0,plain,1000-1500 sqft,2.0,2.0,48.0,4800000.0,4363.636363636364,Super built-up  Area,Ready to move,Not available in source data,Valid,Valid,Insufficient data (<10 listings)
Bengaluru,Kengeri,Kengeri,1.0,1 BHK,600.0,plain,500-1000 sqft,1.0,1.0,15.0,1500000.0,2500.0,Built-up  Area,Ready to move,Not available in source data,Valid,Valid,Tier 3 - Value
Bengaluru,Binny Pete,Binny Pete,3.0,3 BHK,1755.0,plain,1500-2500 sqft,3.0,1.0,122.0,12200000.0,6951.5669515669515,Super built-up  Area,Under construction,Not available in source data,Valid,Valid,Tier 1 - Premium
Bengaluru,Thanisandra,Thanisandra,4.0,4 BHK,2800.0,plain,2500+ sqft,5.0,2.0,380.0,38000000.0,13571.42857142857,Plot  Area,Ready to move,Not available in source data,Valid,Valid,Tier 2 - Mid-market
Bengaluru,Bellandur,Bellandur,3.0,3 BHK,1767.0,plain,1500-2500 sqft,3.0,1.0,103.0,10300000.0,5829.088851160159,Super built-up  Area,Ready to move,Not available in source data,Valid,Valid,Tier 2 - Mid-market
Bengaluru,Thanisandra,Thanisandra,1.0,1 BHK,510.0,plain,500-1000 sqft,1.0,0.0,25.25,2525000.0,4950.980392156863,Super built-up  Area,Under construction,Not available in source data,Valid,Valid,Tier 2 - Mid-market
Bengaluru,Mangammanapalya,Mangammanapalya,3.0,3 BHK,1250.0,plain,1000-1500 sqft,3.0,2.0,56.0,5600000.0,4480.0,Super built-up  Area,Under construction,Not available in source data,Valid,Valid,Insufficient data (<10 listings)
Bengaluru,Electronic City,Electronic City,2.0,2 BHK,660.0,plain,500-1000 sqft,1.0,1.0,23.1,2310000.0,3500.0,Super built-up  Area,Ready to move,Not available in source data,Valid,Valid,Tier 3 - Value
Bengaluru,Whitefield,Whitefield,3.0,3 BHK,1610.0,plain,1500-2500 sqft,3.0,2.0,81.0,8100000.0,5031.055900621118,Built-up  Area,Under construction,Not available in source data,Valid,Valid,Tier 2 - Mid-market
Bengaluru,Ramagondanahalli,Ramagondanahalli,2.0,2 BHK,1151.0,plain,1000-1500 sqft,2.0,2.0,48.77,4877000.0,4237.185056472633,Super built-up  Area,Under construction,Not available in source data,Valid,Valid,Tier 3 - Value
Bengaluru,Electronic City,Electronic City,3.0,3 BHK,1025.0,plain,1000-1500 sqft,2.0,1.0,47.0,4700000.0,4585.365853658536,Super built-up  Area,Ready to move,Not available in source data,Valid,Valid,Tier 3 - Value
Bengaluru,Yelahanka,Yelahanka,4.0,4 BHK,2475.0,range_midpoint,1500-2500 sqft,4.0,0.0,186.0,18600000.0,7515.151515151515,Super built-up  Area,Under construction,Not available in source data,Valid,Valid,Tier 2 - Mid-market
Bengaluru,Bisuvanahalli,Bisuvanahalli,3.0,3 BHK,1075.0,plain,1000-1500 sqft,2.0,1.0,35.0,3500000.0,3255.813953488372,Super built-up  Area,Ready to move,Not available in source data,Valid,Valid,Tier 3 - Value
Bengaluru,Hebbal,Hebbal,3.0,3 BHK,1760.0,plain,1500-2500 sqft,2.0,2.0,123.0,12300000.0,6988.636363636364,Super built-up  Area,Ready to move,Not available in source data,Valid,Valid,Tier 1 - Premium
Bengaluru,Raja Rajeshwari Nagar,Raja Rajeshwari Nagar,3.0,3 BHK,1693.0,plain,1500-2500 sqft,3.0,3.0,57.39,5739000.0,3389.84051978736,Super built-up  Area,Ready to move,Not available in source data,Valid,Valid,Tier 3 - Value
Bengaluru,Kasturi Nagar,Kasturi Nagar,3.0,3 BHK,1925.0,plain,1500-2500 sqft,3.0,,125.0,12500000.0,6493.506493506494,Built-up  Area,Ready to move,Not available in source data,Valid,Valid,Tier 1 - Premium
Bengaluru,Kanakpura Road,Kanakpura Road,2.0,2 BHK,700.0,plain,500-1000 sqft,2.0,1.0,36.0,3600000.0,5142.857142857143,Super built-up  Area,Under construction,Not available in source data,Valid,Valid,Tier 2 - Mid-market
Bengaluru,Electronics City Phase 1,Electronics City Phase 1,2.0,2 BHK,1070.0,plain,1000-1500 sqft,2.0,1.0,45.5,4550000.0,4252.336448598131,Super built-up  Area,Ready to move,Not available in source data,Valid,Valid,Tier 3 - Value
Bengaluru,Kundalahalli,Kundalahalli,3.0,3 BHK,1724.0,plain,1500-2500 sqft,3.0,2.0,125.0,12500000.0,7250.580046403712,Super built-up  Area,Ready to move,Not available in source data,Valid,Valid,Tier 1 - Premium
Bengaluru,Chikkalasandra,Chikkalasandra,3.0,3 BHK,1290.0,plain,1000-1500 sqft,2.0,2.0,56.12,5612000.0,4350.387596899225,Super built-up  Area,Ready to move,Not available in source data,Valid,Valid,Tier 3 - Value
Bengaluru,Uttarahalli,Uttarahalli,2.0,2 BHK,1143.0,plain,1000-1500 sqft,2.0,2.0,45.0,4500000.0,3937.0078740157483,Built-up  Area,Ready to move,Not available in source data,Valid,Valid,Tier 3 - Value
Bengaluru,Murugeshpalya,Murugeshpalya,2.0,2 BHK,1296.0,plain,1000-1500 sqft,2.0,,81.0,8100000.0,6250.0,Built-up  Area,Ready to move,Not available in source data,Valid,Valid,Tier 2 - Mid-market
Bengaluru,Sarjapur  Road,Sarjapur  Road,3.0,3 BHK,1254.0,plain,1000-1500 sqft,3.0,2.0,38.0,3800000.0,3030.3030303030305,Super built-up  Area,Under construction,Not available in source data,Valid,Valid,Tier 2 - Mid-market
Bengaluru,Ganga Nagar,Ganga Nagar,1.0,1 BHK,600.0,plain,500-1000 sqft,1.0,0.0,38.0,3800000.0,6333.333333333333,Super built-up  Area,Ready to move,Not available in source data,Valid,Valid,Tier 1 - Premium
Bengaluru,Yelahanka,Yelahanka,1.0,1 BHK,660.0,plain,500-1000 sqft,1.0,0.0,48.0,4800000.0,7272.727272727273,Plot  Area,Ready to move,Not available in source data,Valid,Valid,Tier 2 - Mid-market
Bengaluru,Kanakpura Road,Kanakpura Road,2.0,2 BHK,1330.74,plain,1000-1500 sqft,2.0,2.0,91.79,9179000.0,6897.665960292769,Super built-up  Area,Under construction,Not available in source data,Valid,Valid,Tier 2 - Mid-market
Bengaluru,HSR Layout,HSR Layout,8.0,5+ BHK,600.0,plain,500-1000 sqft,9.0,,200.0,20000000.0,33333.333333333336,Plot  Area,Ready to move,Not available in source data,Suspicious,Suspicious:sqft_per_bhk_below_150,Tier 2 - Mid-market
Bengaluru,Doddathoguru,Doddathoguru,2.0,2 BHK,970.0,plain,500-1000 sqft,2.0,0.0,33.0,3300000.0,3402.061855670103,Super built-up  Area,Ready to move,Not available in source data,Valid,Valid,Tier 3 - Value
Bengaluru,Whitefield,Whitefield,2.0,2 BHK,1459.0,plain,1000-1500 sqft,2.0,1.0,94.82,9482000.0,6498.971898560658,Super built-up  Area,Under construction,Not available in source data,Valid,Valid,Tier 2 - Mid-market
Bengaluru,KR Puram,KR Puram,2.0,2 BHK,800.0,plain,500-1000 sqft,1.0,1.0,130.0,13000000.0,16250.0,Plot  Area,Ready to move,Not available in source data,Valid,Valid,Tier 3 - Value
Bengaluru,Himagiri Meadows,Himagiri Meadows,2.0,2 BHK,869.0,plain,500-1000 sqft,2.0,1.0,36.0,3600000.0,4142.692750287687,Built-up  Area,Ready to move,Not available in source data,Valid,Valid,Insufficient data (<10 listings)
Bengaluru,Adarsh Nagar,Adarsh Nagar,2.0,2 BHK,1270.0,plain,1000-1500 sqft,2.0,1.0,50.0,5000000.0,3937.0078740157483,Super built-up  Area,Ready to move,Not available in source data,Valid,Valid,Insufficient data (<10 listings)
Bengaluru,Bhoganhalli,Bhoganhalli,3.0,3 BHK,1670.0,plain,1500-2500 sqft,3.0,1.0,99.0,9900000.0,5928.143712574851,Super built-up  Area,Under construction,Not available in source data,Valid,Valid,Tier 2 - Mid-market
Bengaluru,Whitefield,Whitefield,3.0,3 BHK,2010.0,plain,1500-2500 sqft,3.0,2.0,91.0,9100000.0,4527.363184079602,Built-up  Area,Ready to move,Not available in source data,Valid,Valid,Tier 2 - Mid-market
Bengaluru,Lakshminarayana Pura,Lakshminarayana Pura,2.0,2 BHK,1185.0,plain,1000-1500 sqft,2.0,2.0,75.0,7500000.0,6329.113924050633,Super built-up  Area,Ready to move,Not available in source data,Valid,Valid,Tier 1 - Premium
Bengaluru,Yelahanka,Yelahanka,3.0,3 BHK,1600.0,plain,1500-2500 sqft,2.0,3.0,75.0,7500000.0,4687.5,Super built-up  Area,Ready to move,Not available in source data,Valid,Valid,Tier 2 - Mid-market
Bengaluru,Begur Road,Begur Road,2.0,2 BHK,1200.0,plain,1000-1500 sqft,2.0,2.0,44.0,4400000.0,3666.6666666666665,Super built-up  Area,Ready to move,Not available in source data,Valid,Valid,Tier 3 - Value
Bengaluru,Devanahalli,Devanahalli,4.0,4 BHK,3210.0,range_midpoint,2500+ sqft,,,192.0,19200000.0,5981.308411214954,Built-up  Area,Under construction,Not available in source data,Valid,Valid,Tier 2 - Mid-market
Bengaluru,Ramakrishnappa Layout,Ramakrishnappa Layout,2.0,2 BHK,1500.0,plain,1500-2500 sqft,2.0,2.0,185.0,18500000.0,12333.333333333334,Super built-up  Area,Ready to move,Not available in source data,Valid,Valid,Insufficient data (<10 listings)
Bengaluru,Murugeshpalya,Murugeshpalya,6.0,5+ BHK,1407.0,plain,1000-1500 sqft,4.0,1.0,150.0,15000000.0,10660.980810234541,Plot  Area,Ready to move,Not available in source data,Valid,Valid,Tier 2 - Mid-market
Bengaluru,Govindaraja Nagar Ward,Govindaraja Nagar Ward,2.0,2 BHK,840.0,plain,500-1000 sqft,2.0,2.0,45.0,4500000.0,5357.142857142857,Super built-up  Area,Ready to move,Not available in source data,Valid,Valid,Insufficient data (<10 listings)
Bengaluru,Tharabanahalli,Tharabanahalli,3.0,3 BHK,4395.0,plain,2500+ sqft,3.0,2.0,240.0,24000000.0,5460.750853242321,Plot  Area,Ready to move,Not available in source data,Valid,Valid,Insufficient data (<10 listings)
Bengaluru,Ganga Nagar,Ganga Nagar,2.0,2 BHK,845.0,plain,500-1000 sqft,2.0,1.0,55.0,5500000.0,6508.87573964497,Super built-up  Area,Ready to move,Not available in source data,Valid,Valid,Tier 1 - Premium
Bengaluru,Whitefield,Whitefield,4.0,4 BHK,5700.0,plain,2500+ sqft,5.0,3.0,650.0,65000000.0,11403.508771929824,Plot  Area,Ready to move,Not available in source data,Valid,Valid,Tier 2 - Mid-market
Bengaluru,Varthur,Varthur,2.0,2 BHK,1160.0,plain,1000-1500 sqft,2.0,2.0,44.0,4400000.0,3793.103448275862,Built-up  Area,Ready to move,Not available in source data,Valid,Valid,Tier 3 - Value
Bengaluru,Bommanahalli,Bommanahalli,8.0,5+ BHK,3000.0,plain,2500+ sqft,8.0,0.0,140.0,14000000.0,4666.666666666667,Built-up  Area,Ready to move,Not available in source data,Valid,Valid,Tier 3 - Value
Bengaluru,Doddathoguru,Doddathoguru,2.0,2 BHK,1100.0,plain,1000-1500 sqft,2.0,1.0,62.0,6200000.0,5636.363636363636,Super built-up  Area,Ready to move,Not available in source data,Valid,Valid,Tier 3 - Value
Bengaluru,Gunjur,Gunjur,2.0,2 BHK,1140.0,plain,1000-1500 sqft,2.0,3.0,43.0,4300000.0,3771.9298245614036,Super built-up  Area,Under construction,Not available in source data,Valid,Valid,Tier 3 - Value
Bengaluru,Marathahalli,Marathahalli,2.0,2 BHK,1220.0,plain,1000-1500 sqft,2.0,1.0,57.0,5700000.0,4672.131147540984,Super built-up  Area,Ready to move,Not available in source data,Valid,Valid,Tier 2 - Mid-market
Bengaluru,Devarachikkanahalli,Devarachikkanahalli,8.0,5+ BHK,1350.0,plain,1000-1500 sqft,7.0,0.0,85.0,8500000.0,6296.2962962962965,Plot  Area,Ready to move,Not available in source data,Valid,Valid,Tier 3 - Value
Bengaluru,Kanakpura Road,Kanakpura Road,2.0,2 BHK,1005.0,plain,1000-1500 sqft,2.0,1.0,36.68,3668000.0,3649.7512437810947,Super built-up  Area,Ready to move,Not available in source data,Valid,Valid,Tier 2 - Mid-market
Bengaluru,Double Road,Double Road,3.0,3 BHK,500.0,plain,500-1000 sqft,3.0,2.0,100.0,10000000.0,20000.0,Plot  Area,Ready to move,Not available in source data,Valid,Valid,Insufficient data (<10 listings)
Bengaluru,Begur Road,Begur Road,2.0,2 BHK,1358.0,plain,1000-1500 sqft,2.0,1.0,80.58,8058000.0,5933.726067746687,Super built-up  Area,Under construction,Not available in source data,Valid,Valid,Tier 3 - Value
Bengaluru,Hegde Nagar,Hegde Nagar,3.0,3 BHK,1569.0,plain,1500-2500 sqft,3.0,1.0,101.0,10100000.0,6437.221159974506,Super built-up  Area,Ready to move,Not available in source data,Valid,Valid,Tier 1 - Premium
Bengaluru,Haralur Road,Haralur Road,2.0,2 BHK,1240.0,plain,1000-1500 sqft,2.0,1.0,70.0,7000000.0,5645.1612903225805,Super built-up  Area,Under construction,Not available in source data,Valid,Valid,Tier 2 - Mid-market
Bengaluru,Hennur Road,Hennur Road,3.0,3 BHK,2089.0,plain,1500-2500 sqft,3.0,2.0,140.0,14000000.0,6701.771182383915,Super built-up  Area,Ready to move,Not available in source data,Valid,Valid,Tier 2 - Mid-market
Bengaluru,Kothannur,Kothannur,2.0,2 BHK,1206.0,plain,1000-1500 sqft,2.0,1.0,48.23,4823000.0,3999.1708126036483,Super built-up  Area,Ready to move,Not available in source data,Valid,Valid,Tier 3 - Value
Bengaluru,Kalena Agrahara,Kalena Agrahara,2.0,2 BHK,1150.0,plain,1000-1500 sqft,2.0,3.0,40.0,4000000.0,3478.2608695652175,Super built-up  Area,Ready to move,Not available in source data,Valid,Valid,Tier 2 - Mid-market
Bengaluru,Cholanayakanahalli,Cholanayakanahalli,3.0,3 BHK,2511.0,plain,2500+ sqft,3.0,3.0,205.0,20500000.0,8164.078056551175,Built-up  Area,Ready to move,Not available in source data,Valid,Valid,Insufficient data (<10 listings)
Bengaluru,Kaval Byrasandra,Kaval Byrasandra,2.0,2 BHK,460.0,plain,<500 sqft,1.0,0.0,22.0,2200000.0,4782.608695652174,Built-up  Area,Ready to move,Not available in source data,Valid,Valid,Tier 2 - Mid-market
Bengaluru,ISRO Layout,ISRO Layout,6.0,5+ BHK,4400.0,plain,2500+ sqft,6.0,3.0,250.0,25000000.0,5681.818181818182,Built-up  Area,Ready to move,Not available in source data,Valid,Valid,Tier 2 - Mid-market
Bengaluru,Kodanda Reddy Layout,Kodanda Reddy Layout,3.0,3 BHK,1660.0,plain,1500-2500 sqft,2.0,2.0,105.0,10500000.0,6325.301204819277,Super built-up  Area,Ready to move,Not available in source data,Valid,Valid,Insufficient data (<10 listings)
Bengaluru,Hennur Road,Hennur Road,4.0,4 BHK,3203.5,range_midpoint,2500+ sqft,,,224.5,22450000.0,7007.960043702201,Built-up  Area,Under construction,Not available in source data,Valid,Valid,Tier 2 - Mid-market
Bengaluru,Yelahanka,Yelahanka,2.0,2 BHK,1326.0,plain,1000-1500 sqft,2.0,2.0,78.0,7800000.0,5882.35294117647,Super built-up  Area,Under construction,Not available in source data,Valid,Valid,Tier 2 - Mid-market
Bengaluru,Garudachar Palya,Garudachar Palya,3.0,3 BHK,1325.0,plain,1000-1500 sqft,2.0,2.0,60.8,6080000.0,4588.679245283019,Super built-up  Area,Ready to move,Not available in source data,Valid,Valid,Tier 3 - Value
Bengaluru,EPIP Zone,EPIP Zone,3.0,3 BHK,1499.0,plain,1000-1500 sqft,5.0,2.0,102.0,10200000.0,6804.536357571715,Super built-up  Area,Ready to move,Not available in source data,Valid,Valid,Tier 1 - Premium
Bengaluru,Hegde Nagar,Hegde Nagar,6.0,5+ BHK,3000.0,plain,2500+ sqft,7.0,2.0,210.0,21000000.0,7000.0,Built-up  Area,Ready to move,Not available in source data,Valid,Valid,Tier 1 - Premium
Bengaluru,Kanakpura Road,Kanakpura Road,3.0,3 BHK,1665.0,plain,1500-2500 sqft,3.0,2.0,88.0,8800000.0,5285.285285285286,Super built-up  Area,Ready to move,Not available in source data,Valid,Valid,Tier 2 - Mid-market
Bengaluru,Dasanapura,Dasanapura,2.0,2 BHK,708.0,plain,500-1000 sqft,2.0,2.0,37.0,3700000.0,5225.988700564972,Super built-up  Area,Under construction,Not available in source data,Valid,Valid,Tier 2 - Mid-market
Bengaluru,Kasavanhalli,Kasavanhalli,2.0,2 BHK,1060.0,plain,1000-1500 sqft,2.0,2.0,58.06,5806000.0,5477.358490566037,Super built-up  Area,Ready to move,Not available in source data,Valid,Valid,Tier 2 - Mid-market
Bengaluru,Rajaji Nagar,Rajaji Nagar,6.0,5+ BHK,710.0,plain,500-1000 sqft,6.0,3.0,160.0,16000000.0,22535.211267605635,Plot  Area,Ready to move,Not available in source data,Suspicious,Suspicious:sqft_per_bhk_below_150,Tier 1 - Premium
Bengaluru,Sanjay nagar,Sanjay nagar,2.0,2 BHK,1000.0,plain,1000-1500 sqft,2.0,2.0,70.0,7000000.0,7000.0,Built-up  Area,Ready to move,Not available in source data,Valid,Valid,Tier 1 - Premium
Bengaluru,Electronic City,Electronic City,2.0,2 BHK,1000.0,plain,1000-1500 sqft,2.0,1.0,28.88,2888000.0,2888.0,Super built-up  Area,Under construction,Not available in source data,Valid,Valid,Tier 3 - Value
Bengaluru,Mysore Highway,Mysore Highway,3.0,3 BHK,1450.0,plain,1000-1500 sqft,2.0,2.0,70.0,7000000.0,4827.586206896552,Super built-up  Area,Ready to move,Not available in source data,Valid,Valid,Insufficient data (<10 listings)
Bengaluru,ISRO Layout,ISRO Layout,4.0,4 BHK,1200.0,plain,1000-1500 sqft,4.0,2.0,155.0,15500000.0,12916.666666666666,Plot  Area,Ready to move,Not available in source data,Valid,Valid,Tier 2 - Mid-market
Bengaluru,Thanisandra,Thanisandra,2.0,2 BHK,1296.0,plain,1000-1500 sqft,2.0,3.0,80.0,8000000.0,6172.83950617284,Super built-up  Area,Under construction,Not available in source data,Valid,Valid,Tier 2 - Mid-market
Bengaluru,Domlur,Domlur,3.0,3 BHK,1540.0,plain,1500-2500 sqft,3.0,2.0,90.0,9000000.0,5844.1558441558445,Super built-up  Area,Ready to move,Not available in source data,Valid,Valid,Tier 1 - Premium
Bengaluru,Kengeri,Kengeri,4.0,4 BHK,2894.0,plain,2500+ sqft,4.0,1.0,245.0,24500000.0,8465.791292328957,Plot  Area,Ready to move,Not available in source data,Valid,Valid,Tier 3 - Value
Bengaluru,Sarjapura - Attibele Road,Sarjapura - Attibele Road,3.0,3 BHK,1330.0,plain,1000-1500 sqft,2.0,1.0,48.0,4800000.0,3609.0225563909776,Super built-up  Area,Ready to move,Not available in source data,Valid,Valid,Tier 3 - Value
Bengaluru,Devasthanagalu,Devasthanagalu,2.0,2 BHK,1200.0,plain,1000-1500 sqft,2.0,1.0,65.0,6500000.0,5416.666666666667,Built-up  Area,Ready to move,Not available in source data,Valid,Valid,Insufficient data (<10 listings)
Bengaluru,T Dasarahalli,T Dasarahalli,3.0,3 BHK,1200.0,plain,1000-1500 sqft,3.0,1.0,90.0,9000000.0,7500.0,Built-up  Area,Ready to move,Not available in source data,Valid,Valid,Insufficient data (<10 listings)
Bengaluru,Yeshwanthpur,Yeshwanthpur,3.0,3 BHK,2502.0,plain,2500+ sqft,3.0,3.0,138.0,13800000.0,5515.587529976019,Super built-up  Area,Ready to move,Not available in source data,Valid,Valid,Tier 2 - Mid-market
Bengaluru,Chandapura,Chandapura,2.0,2 BHK,650.0,plain,500-1000 sqft,1.0,1.0,17.0,1700000.0,2615.3846153846152,Built-up  Area,Ready to move,Not available in source data,Valid,Valid,Tier 3 - Value
Bengaluru,Kothanur,Kothanur,3.0,3 BHK,2400.0,plain,1500-2500 sqft,2.0,1.0,150.0,15000000.0,6250.0,Plot  Area,Ready to move,Not available in source data,Valid,Valid,Tier 3 - Value
Bengaluru,Green View Layout,Green View Layout,2.0,2 BHK,1007.0,plain,1000-1500 sqft,2.0,2.0,43.0,4300000.0,4270.109235352532,Super built-up  Area,Ready to move,Not available in source data,Valid,Valid,Insufficient data (<10 listings)
Bengaluru,Shantiniketan Layout,Shantiniketan Layout,2.0,2 BHK,1200.0,plain,1000-1500 sqft,2.0,2.0,50.0,5000000.0,4166.666666666667,Super built-up  Area,Ready to move,Not available in source data,Valid,Valid,Insufficient data (<10 listings)
Bengaluru,Peenya,Peenya,2.0,2 BHK,966.0,plain,500-1000 sqft,2.0,2.0,49.9,4990000.0,5165.631469979296,Super built-up  Area,Ready to move,Not available in source data,Valid,Valid,Insufficient data (<10 listings)
Bengaluru,Nagarbhavi,Nagarbhavi,3.0,3 BHK,1630.0,plain,1500-2500 sqft,2.0,1.0,98.0,9800000.0,6012.269938650306,Built-up  Area,Ready to move,Not available in source data,Valid,Valid,Tier 1 - Premium
Bengaluru,Rajaji Nagar,Rajaji Nagar,3.0,3 BHK,1640.0,plain,1500-2500 sqft,3.0,2.0,229.0,22900000.0,13963.414634146342,Built-up  Area,Ready to move,Not available in source data,Valid,Valid,Tier 1 - Premium
Bengaluru,Jalahalli West,Jalahalli West,2.0,2 BHK,782.0,plain,500-1000 sqft,2.0,2.0,55.68,5568000.0,7120.204603580562,Built-up  Area,Ready to move,Not available in source data,Valid,Valid,Insufficient data (<10 listings)
Bengaluru,Devanahalli,Devanahalli,2.0,2 BHK,1260.0,plain,1000-1500 sqft,2.0,2.0,66.78,6678000.0,5300.0,Super built-up  Area,Under construction,Not available in source data,Valid,Valid,Tier 2 - Mid-market
Bengaluru,Lakshmiamma Garden,Lakshmiamma Garden,3.0,3 BHK,1800.0,plain,1500-2500 sqft,3.0,3.0,120.0,12000000.0,6666.666666666667,Super built-up  Area,Ready to move,Not available in source data,Valid,Valid,Insufficient data (<10 listings)
Bengaluru,Byatarayanapura,Byatarayanapura,3.0,3 BHK,1413.0,plain,1000-1500 sqft,2.0,2.0,75.0,7500000.0,5307.855626326964,Super built-up  Area,Ready to move,Not available in source data,Valid,Valid,Insufficient data (<10 listings)
Bengaluru,Whitefield,Whitefield,2.0,2 BHK,1116.0,plain,1000-1500 sqft,2.0,1.0,51.91,5191000.0,4651.433691756272,Super built-up  Area,Ready to move,Not available in source data,Valid,Valid,Tier 2 - Mid-market
Bengaluru,Electronic City,Electronic City,3.0,3 BHK,1530.0,plain,1500-2500 sqft,2.0,1.0,45.9,4590000.0,3000.0,Super built-up  Area,Ready to move,Not available in source data,Valid,Valid,Tier 3 - Value
Bengaluru,Ramamurthy Nagar,Ramamurthy Nagar,4.0,4 BHK,3700.0,plain,2500+ sqft,4.0,1.0,225.0,22500000.0,6081.081081081081,Built-up  Area,Ready to move,Not available in source data,Valid,Valid,Tier 2 - Mid-market
Bengaluru,Sarjapur  Road,Sarjapur  Road,3.0,3 BHK,2497.0,plain,1500-2500 sqft,3.0,2.0,140.0,14000000.0,5606.728073688426,Built-up  Area,Ready to move,Not available in source data,Valid,Valid,Tier 2 - Mid-market
