raw_locality_normalized,standard_locality_normalized,standard_locality_display,method,confidence,n_listings,flag_for_manual_review
jalahalli east,jalahalli west,Jalahalli West,fuzzy_suggestion_NOT_applied,92.9,12,True
vijayanagar,jayanagar,Jayanagar,fuzzy_suggestion_NOT_applied,90.0,42,True
rpc layout,kpc layout,KPC Layout,fuzzy_suggestion_NOT_applied,90.0,3,True
kanakapura main road,kanakapur main road,Kanakapur main road,fuzzy_suggestion_NOT_applied,97.4,3,True
kanakpura road,kanakapura rod,Kanakapura  Rod,fuzzy_suggestion_NOT_applied,92.9,249,True
kanakapura road,kanakapura rod,Kanakapura  Rod,fuzzy_suggestion_NOT_applied,96.6,3,True
kathriguppe,kathreguppe,Kathreguppe,fuzzy_suggestion_NOT_applied,90.9,19,True
kenchenahalli,kenchenhalli,Kenchenhalli,fuzzy_suggestion_NOT_applied,96.0,16,True
kodihalli,kodigehalli,Kodigehalli,fuzzy_suggestion_NOT_applied,90.0,15,True
kodigehaali,kodigehalli,Kodigehalli,fuzzy_suggestion_NOT_applied,90.9,13,True
kothanur,kothannur,Kothannur,fuzzy_suggestion_NOT_applied,94.1,64,True
kumbena agrahara,kumbhena agrahara,Kumbhena Agrahara,fuzzy_suggestion_NOT_applied,97.0,3,True
jakkasandra extension,lakkasandra extension,Lakkasandra Extension,fuzzy_suggestion_NOT_applied,95.2,5,True
rr layout,mrcr layout,MRCR Layout,fuzzy_suggestion_NOT_applied,90.0,2,True
cr layout,mrcr layout,MRCR Layout,fuzzy_suggestion_NOT_applied,90.0,1,True
mallasandra,mailasandra,Mailasandra,fuzzy_suggestion_NOT_applied,90.9,16,True
manorayana palya,manonarayanapalya,Manonarayanapalya,fuzzy_suggestion_NOT_applied,90.9,3,True
margondanahalli,maragondanahalli,Maragondanahalli,fuzzy_suggestion_NOT_applied,96.8,25,True
ramagondanahalli,margondanahalli,Margondanahalli,fuzzy_suggestion_NOT_applied,90.3,47,True
marathi layout,maruthi layout,Maruthi Layout,fuzzy_suggestion_NOT_applied,92.9,1,True
nri layout,n r layout,N R Layout,fuzzy_suggestion_NOT_applied,90.0,14,True
ngr layout,n r layout,N R Layout,fuzzy_suggestion_NOT_applied,90.0,13,True
nri layout,ngr layout,NGR Layout,fuzzy_suggestion_NOT_applied,90.0,14,True
nri layout,nti layout,NTI Layout,fuzzy_suggestion_NOT_applied,90.0,14,True
iti layout,nti layout,NTI Layout,fuzzy_suggestion_NOT_applied,90.0,6,True
anjappa layout,nanjappa layout,Nanjappa Layout,fuzzy_suggestion_NOT_applied,96.6,3,True
nelamangala,neelamangala,Neelamangala,fuzzy_suggestion_NOT_applied,95.7,8,True
pulkeshi nagar,pulikeshi nagar,Pulikeshi Nagar,fuzzy_suggestion_NOT_applied,96.6,2,True
nri layout,rbi layout,RBI Layout,fuzzy_suggestion_NOT_applied,90.0,14,True
hrbr layout,rr layout,RR Layout,fuzzy_suggestion_NOT_applied,90.0,19,True
raja rajeshwari nagar,raja rajashweri nagar,Raja Rajashweri Nagar,fuzzy_suggestion_NOT_applied,90.5,159,True
raja rajeshwari nagar,rajarajesheari nagar,Rajarajesheari nagar,fuzzy_suggestion_NOT_applied,92.7,159,True
rajarajeshwari nagara,rajarajesheari nagar,Rajarajesheari nagar,fuzzy_suggestion_NOT_applied,92.7,3,True
raja rajeshwari nagar,rajarajeshwari nagara,Rajarajeshwari Nagara,fuzzy_suggestion_NOT_applied,95.2,159,True
hsr layout,s r layout,S R Layout,fuzzy_suggestion_NOT_applied,90.0,41,True
n r layout,s r layout,S R Layout,fuzzy_suggestion_NOT_applied,90.0,1,True
shanti nagar,shanthinagar,SHANTHINAGAR,fuzzy_suggestion_NOT_applied,91.7,8,True
sapthagiri layout,saptagiri layout,Saptagiri Layout,fuzzy_suggestion_NOT_applied,97.0,1,True
sri sai layout,shirdi sai layout,Shirdi Sai Layout,fuzzy_suggestion_NOT_applied,90.3,2,True
srirampura,srirampuram,Srirampuram,fuzzy_suggestion_NOT_applied,95.2,6,True
subash nagar,subhash nagar,Subhash Nagar,fuzzy_suggestion_NOT_applied,96.0,2,True
sunder ram shetty nagar,sundar ram shetty nagar,Sundar Ram Shetty Nagar,fuzzy_suggestion_NOT_applied,95.7,2,True
dasarahalli,t dasarahalli,T Dasarahalli,fuzzy_suggestion_NOT_applied,91.7,17,True
tavarekere,thavarekere,Thavarekere,fuzzy_suggestion_NOT_applied,95.2,4,True
thubarahalli,thurahalli,Thurahalli,fuzzy_suggestion_NOT_applied,90.9,22,True
thyagaraja nagar,thyagraj nagar,Thyagraj Nagar,fuzzy_suggestion_NOT_applied,93.3,11,True
thigalarapalya,tigalarpalya,Tigalarpalya,fuzzy_suggestion_NOT_applied,92.3,48,True
udaya nagar,uday nagar,Uday Nagar,fuzzy_suggestion_NOT_applied,95.2,4,True
vasanthapura,vasanthpura,Vasanthpura,fuzzy_suggestion_NOT_applied,95.7,10,True
vasantha vallabha nagar,vasatha vallbha nagar,Vasatha Vallbha Nagar,fuzzy_suggestion_NOT_applied,95.5,5,True
varsova layout,versova layout,Versova Layout,fuzzy_suggestion_NOT_applied,92.9,4,True
vijayanagar,vijay nagar,Vijay Nagar,fuzzy_suggestion_NOT_applied,90.9,42,True
vijaya bank layout,vijayabank bank layout,Vijayabank bank layout,fuzzy_suggestion_NOT_applied,90.0,7,True
vinayaka nagar,vinayak nagar,Vinayak Nagar,fuzzy_suggestion_NOT_applied,96.3,4,True
whitefield,whietfield,"Whietfield,",fuzzy_suggestion_NOT_applied,90.0,526,True
banashankari stage iii,banashankari stage iii sa,banashankari stage iii sa,fuzzy_suggestion_NOT_applied,93.6,25,True
banashankari stage ii,banashankari stage iii sa,banashankari stage iii sa,fuzzy_suggestion_NOT_applied,91.3,16,True
basaveshwara nagar,basaveshwarnagar,basaveshwarnagar,fuzzy_suggestion_NOT_applied,94.1,21,True
basaveswarnagar,basaveshwarnagar,basaveshwarnagar,fuzzy_suggestion_NOT_applied,96.8,1,True
yelachenahalli,elachenahalli,elachenahalli,fuzzy_suggestion_NOT_applied,96.3,20,True
kanakpura road,kanakapura road,kanakapura road,fuzzy_suggestion_NOT_applied,96.6,249,True
manayata tech park,manyata tech park,manyata tech park,fuzzy_suggestion_NOT_applied,97.1,8,True
poorna pragna layout,poornaprajna layout,poornaprajna layout,fuzzy_suggestion_NOT_applied,92.3,13,True
whitefield,whitefiled,whitefiled,fuzzy_suggestion_NOT_applied,90.0,526,True
1 annasandrapalya,1 annasandrapalya,1 Annasandrapalya,unique,100.0,1,False
1 giri nagar,1 giri nagar,1 Giri Nagar,unique,100.0,1,False
1 immadihalli,1 immadihalli,1 Immadihalli,unique,100.0,1,False
1 ramamurthy nagar,1 ramamurthy nagar,1 Ramamurthy Nagar,unique,100.0,1,False
12th cross srinivas nagar banshankari 3rd stage,12th cross srinivas nagar banshankari 3rd stage,12th cross srinivas nagar banshankari 3rd stage,unique,100.0,1,False
1a block koramangala,1a block koramangala,1A Block Koramangala,unique,100.0,1,False
1channasandra,1channasandra,1Channasandra,unique,100.0,1,False
1hanuman nagar,1hanuman nagar,1Hanuman Nagar,unique,100.0,1,False
1hoysalanagar,1hoysalanagar,1Hoysalanagar,unique,100.0,1,False
1kasavanhalli,1kasavanhalli,1Kasavanhalli,unique,100.0,1,False
1st block bel layout,1st block bel layout,1st Block BEL Layout,unique,100.0,2,False
1st block hbr layout,1st block hbr layout,1st Block HBR Layout,unique,100.0,3,False
1st block hrbr layout,1st block hrbr layout,1st Block HRBR Layout,unique,100.0,8,False
1st block jayanagar,1st block jayanagar,1st Block Jayanagar,unique,100.0,14,False
1st block koramangala,1st block koramangala,1st Block Koramangala,unique,100.0,10,False
1st phase jp nagar,1st phase jp nagar,1st Phase JP Nagar,unique,100.0,25,False
1st stage domlur,1st stage domlur,1st Stage Domlur,unique,100.0,1,False
1st stage indira nagar,1st stage indira nagar,1st Stage Indira Nagar,unique,100.0,5,False
1st stage radha krishna layout,1st stage radha krishna layout,1st Stage Radha Krishna Layout,unique,100.0,1,False
2 bedroom furnished farm house in kolar road,2 bedroom furnished farm house in kolar road,2 Bedroom Furnished Farm House in Kolar Road,unique,100.0,1,False
2electronic city phase ii,2electronic city phase ii,2Electronic City Phase II,unique,100.0,1,False
2nd block bel layout,2nd block bel layout,2nd Block Bel Layout,unique,100.0,2,False
2nd block hbr layout,2nd block hbr layout,2nd Block Hbr Layout,unique,100.0,1,False
2nd block hrbr layout,2nd block hrbr layout,2nd Block Hrbr Layout,unique,100.0,7,False
2nd block jayanagar,2nd block jayanagar,2nd Block Jayanagar,unique,100.0,4,False
2nd block koramangala,2nd block koramangala,2nd Block Koramangala,unique,100.0,2,False
2nd phase jp nagar,2nd phase jp nagar,2nd Phase JP Nagar,unique,100.0,9,False
2nd phase judicial layout,2nd phase judicial layout,2nd Phase Judicial Layout,unique,100.0,8,False
2nd stage arekere mico layout,2nd stage arekere mico layout,2nd Stage Arekere Mico Layout,unique,100.0,3,False
2nd stage nagarbhavi,2nd stage nagarbhavi,2nd Stage Nagarbhavi,unique,100.0,20,False
2nd phase jp nagar jp nagar,2nd phase jp nagar jp nagar,"2nd phase jp nagar, jp nagar",unique,100.0,1,False
3rd block banashankari,3rd block banashankari,3rd Block Banashankari,unique,100.0,5,False
3rd block hbr layout,3rd block hbr layout,3rd Block HBR Layout,unique,100.0,1,False
3rd block hrbr layout,3rd block hrbr layout,3rd Block Hrbr Layout,unique,100.0,7,False
3rd block jayanagar,3rd block jayanagar,3rd Block Jayanagar,unique,100.0,3,False
3rd block koramangala,3rd block koramangala,3rd Block Koramangala,unique,100.0,2,False
3rd phase iti layout,3rd phase iti layout,3rd Phase Iti Layout,unique,100.0,1,False
3rd phase jp nagar,3rd phase jp nagar,3rd Phase JP Nagar,unique,100.0,3,False
3rd stage raja rajeshwari nagar,3rd stage raja rajeshwari nagar,3rd Stage Raja Rajeshwari Nagar,unique,100.0,1,False
4 bedroom farm house in bagalur,4 bedroom farm house in bagalur,4 Bedroom Farm House in Bagalur,unique,100.0,1,False
4th block hbr layout,4th block hbr layout,4th Block HBR Layout,unique,100.0,1,False
4th block jayanagar,4th block jayanagar,4th Block Jayanagar,unique,100.0,4,False
4th block koramangala,4th block koramangala,4th Block Koramangala,unique,100.0,9,False
4th phase jp nagar,4th phase jp nagar,4th Phase JP Nagar,unique,100.0,4,False
4th t block jayanagar,4th t block jayanagar,4th T block Jayanagar,unique,100.0,7,False
5 bedroom farm house in lakshmipura,5 bedroom farm house in lakshmipura,5 Bedroom Farm House in Lakshmipura,unique,100.0,1,False
5th block hbr layout,5th block hbr layout,5th Block Hbr Layout,unique,100.0,12,False
5th block jayanagar,5th block jayanagar,5th Block Jayanagar,unique,100.0,3,False
5th phase jp nagar,5th phase jp nagar,5th Phase JP Nagar,unique,100.0,37,False
5th stage beml layout,5th stage beml layout,5th Stage BEML Layout,unique,100.0,2,False
5th block koramangala,5th block koramangala,5th block Koramangala,unique,100.0,1,False
6th block jayanagar,6th block jayanagar,6th Block Jayanagar,unique,100.0,1,False
6th block rajaji nagar,6th block rajaji nagar,6th Block Rajaji Nagar,unique,100.0,1,False
6th phase jp nagar,6th phase jp nagar,6th Phase JP Nagar,unique,100.0,23,False
6th block koramangala,6th block koramangala,6th block Koramangala,unique,100.0,5,False
6th block banashankari 3rd stage 100 feet orr,6th block banashankari 3rd stage 100 feet orr,"6th block banashankari 3rd stage, 100 feet ORR",unique,100.0,1,False
7th block jayanagar,7th block jayanagar,7th Block Jayanagar,unique,100.0,5,False
7th block koramangala,7th block koramangala,7th Block Koramangala,unique,100.0,1,False
7th phase jp nagar,7th phase jp nagar,7th Phase JP Nagar,unique,100.0,135,False
8th block jayanagar,8th block jayanagar,8th Block Jayanagar,unique,100.0,4,False
8th phase jp nagar,8th phase jp nagar,8th Phase JP Nagar,unique,100.0,56,False
8th block koramangala,8th block koramangala,8th block Koramangala,unique,100.0,7,False
9th block jayanagar,9th block jayanagar,9th Block Jayanagar,unique,100.0,5,False
9th phase jp nagar,9th phase jp nagar,9th Phase JP Nagar,unique,100.0,43,False
a narayanapura,a narayanapura,A Narayanapura,unique,100.0,5,False
aecs layout a block singasandra,aecs layout a block singasandra,AECS LAYOUT A-BLOCK Singasandra,unique,100.0,1,False
aecs layout,aecs layout,AECS Layout,unique,100.0,12,False
agb layout,agb layout,AGB Layout,unique,100.0,1,False
ags layout,ags layout,AGS Layout,unique,100.0,7,False
ams layout,ams layout,AMS Layout,unique,100.0,4,False
aavalahalli,aavalahalli,Aavalahalli,unique,100.0,1,False
abbaiah reddy layout,abbaiah reddy layout,Abbaiah Reddy Layout,unique,100.0,6,False
abbigere,abbigere,Abbigere,unique,100.0,22,False
abshot layout,abshot layout,Abshot Layout,unique,100.0,1,False
achins road,achins road,Achins Road,unique,100.0,1,False
adarsh nagar,adarsh nagar,Adarsh Nagar,unique,100.0,1,False
addischetan layout,addischetan layout,Addischetan Layout,unique,100.0,1,False
adityanagar,adityanagar,Adityanagar,unique,100.0,3,False
adugodi,adugodi,Adugodi,unique,100.0,1,False
agara village,agara village,Agara Village,unique,100.0,1,False
agrahara dasarahalli,agrahara dasarahalli,Agrahara Dasarahalli,unique,100.0,3,False
air view colony,air view colony,Air View Colony,unique,100.0,1,False
aishwarya crystal layout,aishwarya crystal layout,Aishwarya Crystal Layout,unique,100.0,2,False
akash nagar,akash nagar,Akash Nagar,unique,100.0,1,False
akshaya nagar,akshaya nagar,Akshaya Nagar,unique,100.0,61,False
akshaya vana,akshaya vana,Akshaya Vana,unique,100.0,8,False
akshayanagara east,akshayanagara east,Akshayanagara East,unique,100.0,8,False
akshayanagara west,akshayanagara west,Akshayanagara West,unique,100.0,2,False
akshya nagar,akshya nagar,Akshya Nagar,unique,100.0,5,False
alfa garden layout,alfa garden layout,Alfa Garden Layout,unique,100.0,4,False
allalasandra,allalasandra,Allalasandra,unique,100.0,1,False
alur,alur,Alur,unique,100.0,3,False
amam enclave layout,amam enclave layout,Amam Enclave Layout,unique,100.0,2,False
amarjyothi colony,amarjyothi colony,Amarjyothi Colony,unique,100.0,2,False
ambalipura,ambalipura,Ambalipura,unique,100.0,26,False
ambedkar colony,ambedkar colony,Ambedkar Colony,unique,100.0,7,False
ambedkar nagar,ambedkar nagar,Ambedkar Nagar,unique,100.0,29,False
amblipura,amblipura,Amblipura,unique,100.0,6,False
amco colony,amco colony,Amco Colony,unique,100.0,1,False
amrita nagar,amrita nagar,Amrita Nagar,unique,100.0,1,False
amruthahalli,amruthahalli,Amruthahalli,unique,100.0,24,False
amruthnagar,amruthnagar,Amruthnagar,unique,100.0,5,False
anand nagar,anand nagar,Anand Nagar,unique,100.0,8,False
anandapura,anandapura,Anandapura,unique,100.0,27,False
anantapura,anantapura,Anantapura,unique,100.0,3,False
anantapuram,anantapuram,Anantapuram,unique,100.0,1,False
ananth nagar,ananth nagar,Ananth Nagar,unique,100.0,29,False
ananthanagar phase 1 electronic city phase 2,ananthanagar phase 1 electronic city phase 2,"Ananthanagar Phase 1,Electronic City , phase 2",unique,100.0,1,False
ananthapura t c palaya main road,ananthapura t c palaya main road,"Ananthapura, T C palaya Main Road",unique,100.0,1,False
anathanagar,anathanagar,Anathanagar,unique,100.0,1,False
andrahalli,andrahalli,Andrahalli,unique,100.0,2,False
anekal,anekal,Anekal,unique,100.0,31,False
anekal hosur road,anekal hosur road,Anekal - Hosur Road,unique,100.0,1,False
anjana nagar,anjana nagar,Anjana Nagar,unique,100.0,2,False
anjanapura,anjanapura,Anjanapura,unique,100.0,16,False
anjappa layout,anjappa layout,Anjappa Layout,unique,100.0,3,False
ankappa layout,ankappa layout,Ankappa Layout,unique,100.0,3,False
annaiah reddy layout,annaiah reddy layout,Annaiah Reddy Layout,unique,100.0,2,False
annapoorneshwari layout jp nagar 7th phase,annapoorneshwari layout jp nagar 7th phase,"Annapoorneshwari Layout, JP nagar 7th phase",unique,100.0,1,False
annapurneshwari nagar,annapurneshwari nagar,Annapurneshwari Nagar,unique,100.0,2,False
annasandrapalya,annasandrapalya,Annasandrapalya,unique,100.0,1,False
anugrah layout,anugrah layout,Anugrah Layout,unique,100.0,2,False
anwar layout,anwar layout,Anwar Layout,unique,100.0,2,False
arasanakunte,arasanakunte,Arasanakunte,unique,100.0,1,False
ardendale,ardendale,Ardendale,unique,100.0,23,False
arehalli,arehalli,Arehalli,unique,100.0,3,False
arekempanahalli,arekempanahalli,Arekempanahalli,unique,100.0,1,False
arekere,arekere,Arekere,unique,100.0,17,False
arishinakunte,arishinakunte,Arishinakunte,unique,100.0,3,False
ashirvad colony,ashirvad colony,Ashirvad Colony,unique,100.0,6,False
ashok nagar,ashok nagar,Ashok Nagar,unique,100.0,2,False
ashraya layout,ashraya layout,Ashraya Layout,unique,100.0,1,False
ashwath nagar,ashwath nagar,Ashwath Nagar,unique,100.0,7,False
ashwathnagar,ashwath nagar,Ashwath Nagar,whitespace_normalization,100.0,6,False
ashwini layout,ashwini layout,Ashwini layout,unique,100.0,3,False
asthagrama layout,asthagrama layout,Asthagrama Layout,unique,100.0,1,False
atmananda colony,atmananda colony,Atmananda Colony,unique,100.0,3,False
attibele,attibele,Attibele,unique,100.0,41,False
attiguppe,attiguppe,Attiguppe,unique,100.0,1,False
attur layout,attur layout,Attur Layout,unique,100.0,5,False
austin town,austin town,Austin Town,unique,100.0,7,False
avalahalli,avalahalli,Avalahalli,unique,100.0,5,False
ayappa nagar,ayappa nagar,Ayappa Nagar,unique,100.0,3,False
b channasandra,b channasandra,B Channasandra,unique,100.0,3,False
b k nagar,b k nagar,B K Nagar,unique,100.0,1,False
b narayanapura,b narayanapura,B Narayanapura,unique,100.0,9,False
b y raveshwara nagar,b y raveshwara nagar,B Y Raveshwara Nagar,unique,100.0,1,False
bagur,bagur,BAGUR,unique,100.0,1,False
bagur road,bagur road,BAGUR ROAD,unique,100.0,1,False
bcc layout,bcc layout,BCC Layout,unique,100.0,4,False
bcmc layout,bcmc layout,BCMC Layout,unique,100.0,2,False
bds layout,bds layout,BDS Layout,unique,100.0,1,False
bel layout,bel layout,BEL Layout,unique,100.0,1,False
bel road,bel road,BEL Road,unique,100.0,4,False
beml layout,beml layout,BEML Layout,unique,100.0,10,False
beml layout 5th stage,beml layout 5th stage,BEML Layout 5th stage,unique,100.0,2,False
bhel layout,bhel layout,BHEL Layout,unique,100.0,3,False
bsm extension,bsm extension,BSM Extension,unique,100.0,4,False
btm 1st stage,btm 1st stage,BTM 1st Stage,unique,100.0,10,False
btm 2nd stage,btm 2nd stage,BTM 2nd Stage,unique,100.0,29,False
btm 4th stage,btm 4th stage,BTM 4th Stage,unique,100.0,3,False
btm layout,btm layout,BTM Layout,unique,100.0,17,False
btm layout 1stage 9th main,btm layout 1stage 9th main,BTM Layout 1stage 9th Main,unique,100.0,1,False
btm layout 2nd stage 1st phase,btm layout 2nd stage 1st phase,BTM Layout 2nd Stage 1st Phase,unique,100.0,1,False
baba nagar,baba nagar,Baba Nagar,unique,100.0,3,False
babusapalaya,babusapalaya,Babusapalaya,unique,100.0,25,False
badavala nagar,badavala nagar,Badavala Nagar,unique,100.0,6,False
badrappa layout,badrappa layout,Badrappa Layout,unique,100.0,1,False
bagalakunte,bagalakunte,Bagalakunte,unique,100.0,6,False
bagalur,bagalur,Bagalur,unique,100.0,5,False
bagalur main road,bagalur main road,Bagalur Main Road,unique,100.0,4,False
bahubali nagar,bahubali nagar,Bahubali Nagar,unique,100.0,1,False
balagere,balagere,Balagere,unique,100.0,44,False
balaji gardens layout,balaji gardens layout,Balaji Gardens Layout,unique,100.0,2,False
balepet,balepet,Balepet,unique,100.0,1,False
banagiri nagar,banagiri nagar,Banagiri Nagar,unique,100.0,9,False
banagirinagar,banagiri nagar,Banagiri Nagar,whitespace_normalization,100.0,1,False
banasawadi,banasawadi,"Banasawadi,",unique,100.0,1,False
banashankari,banashankari,Banashankari,unique,100.0,72,False
banashankari 2nd stage,banashankari 2nd stage,Banashankari 2nd Stage,unique,100.0,1,False
banashankari 2 nd stage,banashankari 2nd stage,Banashankari 2nd Stage,whitespace_normalization,100.0,1,False
banashankari 3rd stage vivekanandanagar,banashankari 3rd stage vivekanandanagar,"Banashankari 3rd stage, Vivekanandanagar",unique,100.0,1,False
