Locality,Listings,Median Price (Lakhs INR),Median Rs per sqft,Tier
Rajaji Nagar,107,250.0,13963.414634146342,Tier 1 - Premium
Postal Colony,2,209.0,13933.333333333334,Insufficient data (<10 listings)
Cottonpet,5,200.0,13903.192584963954,Insufficient data (<10 listings)
Muthyala Nagar,1,165.0,13750.0,Insufficient data (<10 listings)
anjananager magdi road,1,165.0,13750.0,Insufficient data (<10 listings)
Bank Of Baroda Colony,7,185.0,13703.703703703704,Insufficient data (<10 listings)
Chikkabettahalli,1,150.0,13636.363636363636,Insufficient data (<10 listings)
Thurahalli,2,130.0,13541.666666666668,Insufficient data (<10 listings)
Huttanahalli,1,325.0,13541.666666666666,Insufficient data (<10 listings)
Gopalapura,6,286.5,13486.07314638362,Insufficient data (<10 listings)
Mahalakshmi Puram,8,229.0,13433.333333333334,Insufficient data (<10 listings)
CR Layout,1,200.0,13377.926421404682,Insufficient data (<10 listings)
6th block Koramangala,5,300.0,13333.333333333334,Insufficient data (<10 listings)
West of Chord Road,1,160.0,13333.333333333334,Insufficient data (<10 listings)
BHEL Layout,3,165.0,13333.333333333334,Insufficient data (<10 listings)
CQAL LAYOUT C BLOCK,1,160.0,13333.333333333334,Insufficient data (<10 listings)
Mahalakshmi Layout,13,160.0,13333.333333333334,Tier 1 - Premium
Manjunath Nagar,4,160.0,13333.333333333332,Insufficient data (<10 listings)
Defence Colony,6,268.5,13289.51068616423,Insufficient data (<10 listings)
Thyagaraja Nagar,10,105.0,13267.543859649122,Tier 1 - Premium
CMH Road,1,350.0,13133.208255159474,Insufficient data (<10 listings)
"white field,kadugodi",1,275.0,13095.238095238095,Insufficient data (<10 listings)
Nandi Durga Road,2,287.5,13064.516129032258,Insufficient data (<10 listings)
M V Extenstion,2,117.5,13055.555555555555,Insufficient data (<10 listings)
5th block Koramangala,1,520.0,13000.0,Insufficient data (<10 listings)
Himagiri Meadows,3,175.0,12962.962962962964,Insufficient data (<10 listings)
Basaveshwara Nagar,21,150.0,12916.666666666666,Tier 1 - Premium
MM Layout,1,45.0,12857.142857142857,Insufficient data (<10 listings)
Neelasandra,1,145.0,12719.298245614034,Insufficient data (<10 listings)
Jeevan bima nagar,7,125.0,12703.252032520326,Insufficient data (<10 listings)
D Group Employees Layout,3,230.0,12666.666666666666,Insufficient data (<10 listings)
Krishna Reddy Layout,3,273.0,12522.935779816513,Insufficient data (<10 listings)
Malleshwaram,56,251.0,12500.0,Tier 1 - Premium
Vijaypura,1,150.0,12500.0,Insufficient data (<10 listings)
Kumbhena Agrahara,1,150.0,12500.0,Insufficient data (<10 listings)
1 Annasandrapalya,1,150.0,12500.0,Insufficient data (<10 listings)
B K Nagar,1,300.0,12500.0,Insufficient data (<10 listings)
Pulikeshi Nagar,1,285.0,12500.0,Insufficient data (<10 listings)
Seshadripuram,3,100.0,12500.0,Insufficient data (<10 listings)
Goraguntepalya,1,150.0,12500.0,Insufficient data (<10 listings)
Srinagar,3,149.0,12480.0,Insufficient data (<10 listings)
Someshwara Layout,2,149.5,12458.333333333334,Insufficient data (<10 listings)
Chikku Lakshmaiah Layout,2,282.5,12304.234008650124,Insufficient data (<10 listings)
Manganahalli,1,98.0,12250.0,Insufficient data (<10 listings)
4th Block Koramangala,9,420.0,12244.897959183674,Insufficient data (<10 listings)
Sundara Nagar,1,110.0,12222.222222222223,Insufficient data (<10 listings)
Jayamahal,3,220.0,12222.222222222223,Insufficient data (<10 listings)
6th Block Jayanagar,1,255.0,12142.857142857143,Insufficient data (<10 listings)
Sector 6 HSR Layout,4,425.0,12131.57894736842,Insufficient data (<10 listings)
Gangondanahalli,1,48.0,12121.212121212122,Insufficient data (<10 listings)
Versova Layout,2,335.0,12088.573722237088,Insufficient data (<10 listings)
SMV layout,3,140.0,12083.333333333334,Insufficient data (<10 listings)
4th Block Jayanagar,4,215.0,12046.803613732387,Insufficient data (<10 listings)
Queens Road,1,169.0,12028.469750889679,Insufficient data (<10 listings)
BEL Road,4,176.5,12004.761904761905,Insufficient data (<10 listings)
Bharat Nagar,1,180.0,12000.0,Insufficient data (<10 listings)
Hosahalli Extension,5,120.0,12000.0,Insufficient data (<10 listings)
Patelappa Layout,2,143.5,11958.333333333334,Insufficient data (<10 listings)
1st Block Jayanagar,14,139.0,11942.82307940687,Tier 1 - Premium
Byadarahalli,8,397.5,11935.136970794658,Insufficient data (<10 listings)
BCC Layout,4,230.0,11925.925925925927,Insufficient data (<10 listings)
Dairy Circle,10,355.0,11904.98144549429,Tier 1 - Premium
Lakshmi Layout,4,117.5,11875.0,Insufficient data (<10 listings)
"asha township, off hennur road",1,285.0,11875.0,Insufficient data (<10 listings)
Somanna Garden,1,160.0,11851.851851851852,Insufficient data (<10 listings)
Jaymahal Road,1,400.0,11764.70588235294,Insufficient data (<10 listings)
Banashankari 2nd Stage,2,86.125,11666.666666666668,Insufficient data (<10 listings)
B Y Raveshwara Nagar,1,140.0,11666.666666666666,Insufficient data (<10 listings)
Pattegarhpalya,1,140.0,11666.666666666666,Insufficient data (<10 listings)
"Annapoorneshwari Layout, JP nagar 7th phase",1,70.0,11666.666666666666,Insufficient data (<10 listings)
singapura paradise,1,140.0,11666.666666666666,Insufficient data (<10 listings)
Park View Layout,1,70.0,11666.666666666666,Insufficient data (<10 listings)
Ramakrishnappa Layout,7,315.0,11612.90322580645,Insufficient data (<10 listings)
Indira Nagar,42,185.5,11578.923094661593,Tier 1 - Premium
St. John's Road,2,345.0,11515.776699029126,Insufficient data (<10 listings)
Thyagraj Nagar,1,76.0,11515.151515151516,Insufficient data (<10 listings)
Palanahalli,3,500.0,11504.83202945237,Insufficient data (<10 listings)
4th Block HBR Layout,1,138.0,11500.0,Insufficient data (<10 listings)
5th Block Hbr Layout,12,205.0,11482.843137254902,Tier 1 - Premium
Banashankari Stage II,16,137.5,11452.380952380952,Tier 1 - Premium
Indira Nagar 3rd Stage,1,199.0,11436.781609195403,Insufficient data (<10 listings)
HAL 3rd Stage,2,199.5,11425.044682752457,Insufficient data (<10 listings)
Arasanakunte,1,137.0,11416.666666666666,Insufficient data (<10 listings)
Vyalikaval,2,117.5,11409.090909090908,Insufficient data (<10 listings)
Jayanagar,8,173.5,11367.038628751068,Insufficient data (<10 listings)
Cambridge Layout,8,245.0,11314.102564102564,Insufficient data (<10 listings)
Jaya Nagar East,1,350.0,11308.562197092084,Insufficient data (<10 listings)
Pulkeshi Nagar,2,99.1,11286.444528587657,Insufficient data (<10 listings)
3rd Block Koramangala,2,220.0,11285.714285714286,Insufficient data (<10 listings)
Ngef Layout,4,299.0,11256.18374558304,Insufficient data (<10 listings)
Gowdanapalya,4,57.0,11250.0,Insufficient data (<10 listings)
Ramchandrapuram,2,55.0,11250.0,Insufficient data (<10 listings)
Bapuji Nagar,1,126.0,11200.0,Insufficient data (<10 listings)
Vidyapeeta,1,98.0,11200.0,Insufficient data (<10 listings)
3rd Block Jayanagar,3,140.0,11162.790697674418,Insufficient data (<10 listings)
Sarakki Nagar,14,265.0,11159.086717395046,Tier 1 - Premium
Shankarapuram,4,115.0,11124.359653771418,Insufficient data (<10 listings)
12th cross srinivas nagar banshankari 3rd stage,1,200.0,11111.111111111111,Insufficient data (<10 listings)
kamanahalli main road,1,95.0,11085.180863477246,Insufficient data (<10 listings)
Cambridge  road,1,110.0,11000.0,Insufficient data (<10 listings)
Bettahalsoor,3,353.0,10996.884735202491,Insufficient data (<10 listings)
Andrahalli,2,185.0,10965.909090909092,Insufficient data (<10 listings)
Halanayakanahalli,1,165.0,10855.263157894737,Insufficient data (<10 listings)
Sadanand Nagar,2,350.0,10846.560846560847,Insufficient data (<10 listings)
Puttappa Layout,1,290.0,10841.121495327103,Insufficient data (<10 listings)
"RMV extension stage 2, rmv extension",1,324.0,10836.120401337792,Insufficient data (<10 listings)
Ullal Road,3,190.0,10833.333333333334,Insufficient data (<10 listings)
2nd Stage Arekere Mico Layout,3,142.0,10833.333333333334,Insufficient data (<10 listings)
Defence Layout,1,130.0,10833.333333333334,Insufficient data (<10 listings)
Jaraganahalli Jp Nagar Post,1,65.0,10833.333333333334,Insufficient data (<10 listings)
Near ullas theater,1,205.0,10789.473684210527,Insufficient data (<10 listings)
New Thippasandra,6,107.5,10775.31379748962,Insufficient data (<10 listings)
Kengeri Satellite Town ( BDA SITE),1,172.0,10750.0,Insufficient data (<10 listings)
Syndicate Bank Colony,2,153.0,10750.0,Insufficient data (<10 listings)
Mathikere SBM colony,1,160.0,10666.666666666666,Insufficient data (<10 listings)
Cooke Town,18,219.5,10653.846153846152,Tier 1 - Premium
Richards Town,7,160.0,10625.0,Insufficient data (<10 listings)
Devanahalli Road,2,145.5,10540.489753936228,Insufficient data (<10 listings)
Kodihalli,15,270.0,10478.573662808883,Tier 1 - Premium
sarjapura main road,1,250.0,10416.666666666666,Insufficient data (<10 listings)
Muthurayya Swamy Layout,2,310.0,10412.359508326128,Insufficient data (<10 listings)
Kadarenahalli,2,62.5,10375.0,Insufficient data (<10 listings)
Bull Temple Road,1,140.0,10370.37037037037,Insufficient data (<10 listings)
Munivenkatppa Layout,5,225.0,10322.58064516129,Insufficient data (<10 listings)
Victoria Layout,7,146.0,10313.90134529148,Insufficient data (<10 listings)
Sahyadri Layout,1,180.0,10285.714285714286,Insufficient data (<10 listings)
Lingarajapuram,9,60.0,10277.777777777777,Insufficient data (<10 listings)
Yeshwanthpur Industrial Suburb,3,240.0,10263.157894736842,Insufficient data (<10 listings)
Gayathri Nagar,1,90.0,10227.272727272728,Insufficient data (<10 listings)
M C Layout,1,245.0,10208.333333333334,Insufficient data (<10 listings)
Wilson Garden,7,135.0,10204.081632653062,Insufficient data (<10 listings)
Moodalapalya,4,60.5,10186.9918699187,Insufficient data (<10 listings)
Richmond Town,9,187.0,10168.067226890757,Insufficient data (<10 listings)
Frazer Town,38,215.0,10020.372526193249,Tier 1 - Premium
akshaya nagar t c palya,1,120.0,10000.0,Insufficient data (<10 listings)
Dollars Colony,7,280.0,10000.0,Insufficient data (<10 listings)
Upkar Layout,4,115.525,10000.0,Insufficient data (<10 listings)
1Channasandra,1,125.0,10000.0,Insufficient data (<10 listings)
Ilyas Nagar,3,75.0,10000.0,Insufficient data (<10 listings)
High grounds,1,190.0,10000.0,Insufficient data (<10 listings)
Okalipura,1,120.0,10000.0,Insufficient data (<10 listings)
Lalbagh Road,1,367.0,9986.394557823129,Insufficient data (<10 listings)
Chikkabidarakallu,1,325.0,9821.698398307646,Insufficient data (<10 listings)
Basavangudi,31,150.0,9809.52380952381,Tier 1 - Premium
Jaya Mahal layout,2,206.5,9796.988006957796,Insufficient data (<10 listings)
Govindaraja Nagar Ward,2,207.5,9793.956043956045,Insufficient data (<10 listings)
Guni Agrahara,2,117.5,9791.666666666668,Insufficient data (<10 listings)
Ex-Servicemen Colony Dinnur Main Road R.T.Nagar,1,101.0,9767.891682785299,Insufficient data (<10 listings)
Coconut Garden,2,85.0,9722.222222222223,Insufficient data (<10 listings)
Ambedkar Colony,7,145.0,9706.083390293916,Insufficient data (<10 listings)
1st Block BEL Layout,2,167.5,9704.184704184703,Insufficient data (<10 listings)
Bharathnagar,1,120.0,9638.55421686747,Insufficient data (<10 listings)
LIC Colony,1,115.0,9583.333333333334,Insufficient data (<10 listings)
Nanjappa Layout Vidyaranyapura,1,115.0,9583.333333333334,Insufficient data (<10 listings)
A Narayanapura,5,110.0,9565.217391304348,Insufficient data (<10 listings)
Bahubali Nagar,1,150.0,9523.809523809523,Insufficient data (<10 listings)
Hosakerehalli,36,150.0,9513.520540821632,Tier 1 - Premium
NS Palya,4,162.5,9500.0,Insufficient data (<10 listings)
Narayanappa Layout,1,90.0,9473.684210526315,Insufficient data (<10 listings)
1st Block Koramangala,10,255.0,9468.08510638298,Tier 1 - Premium
SK Garden,1,175.0,9459.45945945946,Insufficient data (<10 listings)
Ulsoor,21,150.0,9411.764705882353,Tier 1 - Premium
Hadosiddapura,2,110.0,9397.935779816515,Insufficient data (<10 listings)
Sarvobhogam Nagar,1,140.0,9395.973154362417,Insufficient data (<10 listings)
Hanumantha Nagar,3,175.0,9393.939393939394,Insufficient data (<10 listings)
Sathya Sai Layout,8,630.0,9370.862855417216,Insufficient data (<10 listings)
CQAL Layout,2,275.0,9356.960115455262,Insufficient data (<10 listings)
Chikkasandra,4,86.0,9333.333333333332,Insufficient data (<10 listings)
Ganesha Block,2,209.0,9259.668508287294,Insufficient data (<10 listings)
Srirampuram,3,100.0,9259.25925925926,Insufficient data (<10 listings)
Hennur Bande,6,114.0,9257.564217960258,Insufficient data (<10 listings)
Hebbal Kempapura,33,170.0,9230.76923076923,Tier 1 - Premium
Jnanabharathi Layout,4,112.5,9208.333333333334,Insufficient data (<10 listings)
Rainbow Drive,1,138.0,9200.0,Insufficient data (<10 listings)
Chikka Gowdanapalya.,1,78.0,9176.470588235294,Insufficient data (<10 listings)
Behind Don Bosco Church,1,110.0,9166.666666666666,Insufficient data (<10 listings)
Hal old airport road,1,110.0,9166.666666666666,Insufficient data (<10 listings)
Nandini Layout,3,72.0,9166.666666666666,Insufficient data (<10 listings)
Subhash Nagar,1,110.0,9166.666666666666,Insufficient data (<10 listings)
Laxminarayana Layout,1,145.0,9154.040404040405,Insufficient data (<10 listings)
Chikkagubbi,1,400.0,9128.251939753538,Insufficient data (<10 listings)
Judicial Layout,15,162.0,9117.64705882353,Tier 1 - Premium
Sector 1 HSR Layout,10,152.5,9104.324427805666,Tier 1 - Premium
Sampangi Rama Nagar,4,132.5,9091.8284789644,Insufficient data (<10 listings)
V.V Puram,2,102.5,9063.133528733251,Insufficient data (<10 listings)
Koramangala,70,145.0,9062.043795620437,Tier 1 - Premium
"Basnashankari,6th stage,",1,54.0,9000.0,Insufficient data (<10 listings)
Maruthi Extension,1,180.0,9000.0,Insufficient data (<10 listings)
J C Nagar,3,108.0,9000.0,Insufficient data (<10 listings)
Devasandra Extension,2,106.0,8967.88990825688,Insufficient data (<10 listings)
T Dasarahalli,4,107.5,8958.333333333332,Insufficient data (<10 listings)
Arishinakunte,2,145.0,8958.333333333332,Insufficient data (<10 listings)
Dollars Layout,3,220.0,8957.654723127036,Insufficient data (<10 listings)
Chamrajpet,15,162.0,8947.368421052632,Tier 1 - Premium
Bagalakunte,6,116.5,8927.966101694916,Insufficient data (<10 listings)
Agrahara Dasarahalli,3,72.0,8888.888888888889,Insufficient data (<10 listings)
Omarbagh Layout,2,293.25,8864.903747345345,Insufficient data (<10 listings)
sapthagiri Layout,1,115.0,8846.153846153846,Insufficient data (<10 listings)
Lakkasandra,2,188.0,8844.444444444445,Insufficient data (<10 listings)
Doopanahalli,5,150.0,8844.444444444445,Insufficient data (<10 listings)
Palace Road,2,137.5,8838.042588042588,Insufficient data (<10 listings)
Dollar Scheme Colony,2,310.0,8826.154587662575,Insufficient data (<10 listings)
"Ananthapura, T C palaya Main Road",1,60.0,8823.529411764706,Insufficient data (<10 listings)
Koramangala Industrial Layout,2,575.0,8750.0,Insufficient data (<10 listings)
Vaishnavi Layout,4,420.0,8750.0,Insufficient data (<10 listings)
Krishna Nagar,2,115.0,8742.424242424242,Insufficient data (<10 listings)
Kyalasanahalli,2,104.5,8708.333333333332,Insufficient data (<10 listings)
Mathikere,9,120.0,8666.666666666666,Insufficient data (<10 listings)
pavitra paradise,1,190.0,8636.363636363636,Insufficient data (<10 listings)
Ganganahalli,1,90.0,8571.42857142857,Insufficient data (<10 listings)
4th T block Jayanagar,7,220.0,8538.461538461539,Insufficient data (<10 listings)
RMC YARD,1,162.0,8526.315789473685,Insufficient data (<10 listings)
Devarabeesana Halli,7,149.0,8514.285714285714,Insufficient data (<10 listings)
Sector 7 HSR Layout,13,145.0,8500.42992261393,Tier 1 - Premium
3rd Block Hrbr Layout,7,140.0,8484.848484848484,Insufficient data (<10 listings)
Binny Pete,20,148.5,8472.781375809558,Tier 1 - Premium
Sri Balaji Krupa Layout,3,263.0,8437.5,Insufficient data (<10 listings)
Kammanahalli,17,85.0,8428.57142857143,Tier 1 - Premium
1st Phase JP Nagar,25,167.0,8425.613866153106,Tier 1 - Premium
Sanjeevini Nagar,3,235.0,8407.871198568873,Insufficient data (<10 listings)
Uvce Layout,1,100.0,8403.361344537816,Insufficient data (<10 listings)
"Gubbi Cross, Hennur Main Road",1,300.0,8333.333333333334,Insufficient data (<10 listings)
Mathikere Extension,3,160.0,8333.333333333334,Insufficient data (<10 listings)
Sulthangunta,1,50.0,8333.333333333334,Insufficient data (<10 listings)
Bharath Housing Society Layout,1,200.0,8333.333333333334,Insufficient data (<10 listings)
Hullahalli,1,99.0,8250.0,Insufficient data (<10 listings)
Kodigehalli,11,85.0,8241.758241758242,Tier 1 - Premium
Keshava Nagar,7,155.0,8239.947264337508,Insufficient data (<10 listings)
Marenahalli,2,107.5,8217.636920720031,Insufficient data (<10 listings)
Domlur,22,140.0,8214.285714285714,Tier 1 - Premium
KAMAKIYA,1,135.0,8181.818181818182,Insufficient data (<10 listings)
kg halli jalhalli west,1,80.0,8163.265306122449,Insufficient data (<10 listings)
Kaveri Nagar,3,155.0,8157.894736842105,Insufficient data (<10 listings)
Kamakshipalya,9,75.0,8141.762452107279,Insufficient data (<10 listings)
VHBCS Layout,2,110.0,8130.081300813008,Insufficient data (<10 listings)
"HSR Layout 7th sector,",1,152.0,8119.65811965812,Insufficient data (<10 listings)
Bommenahalli,11,135.0,8083.832335329342,Tier 1 - Premium
Langford Town,4,157.5,8081.261733669968,Insufficient data (<10 listings)
Kumaraswami Layout,30,92.5,8063.235294117647,Tier 1 - Premium
Kathriguppe IV Phase,1,131.0,8036.80981595092,Insufficient data (<10 listings)
Indira Nagar Stage 2,1,96.0,8026.755852842809,Insufficient data (<10 listings)
Shanti Nagar,8,167.5,8000.0,Insufficient data (<10 listings)
Banagiri Nagar,10,123.5,8000.0,Tier 1 - Premium
OLd Gurappanapalya,4,157.5,7990.731204943357,Insufficient data (<10 listings)
Konanakunte,13,150.0,7989.967753493372,Tier 1 - Premium
Srirampura,6,155.0,7967.380410022779,Insufficient data (<10 listings)
Gattigere,2,79.0,7947.269303201507,Insufficient data (<10 listings)
Guddadahalli,2,102.5,7939.422473320778,Insufficient data (<10 listings)
HBR Layout,20,117.5,7938.240798502808,Tier 1 - Premium
"Pai layout , Mahadevapura",1,214.0,7925.925925925926,Insufficient data (<10 listings)
